"","PROVINSI","KABUPATEN","KECAMATAN","subdistrict","region","TAHUN","BULAN","period1","period","BL","VEG","REPRO","RIPE","total","Paddy_planting","Paddy_harvested","luas_baku_ha","area_RS","area_factor"
"96","JAWA BARAT","INDRAMAYU","CIKEDUNG",3212040,3212,2017,"JANUARI","2017-01","'2017-01-24",247.375,66.8125,472.25,3163.25,3949.6875,0,0,5671,4120.33808273943,0.72656287828239
"97","JAWA BARAT","INDRAMAYU","TERISI",3212041,3212,2017,"JANUARI","2017-01","'2017-01-24",564.0625,142,1189.4375,4966.375,6861.875,0,0,5099,7296.95292628421,1.43105568273862
"98","JAWA BARAT","INDRAMAYU","LELEA",3212050,3212,2017,"JANUARI","2017-01","'2017-01-24",75.8125,142.0625,1857,2470.875,4545.75,0,0,5000,4708.56003908496,0.941712007816992
"99","JAWA BARAT","INDRAMAYU","BANGODUA",3212060,3212,2017,"JANUARI","2017-01","'2017-01-24",423.375,557.8125,227,2288.375,3496.5625,0,1070,3219,3601.47475103944,1.11881787854596
"100","JAWA BARAT","INDRAMAYU","TUKDANA",3212061,3212,2017,"JANUARI","2017-01","'2017-01-24",262.8125,926.0625,74.25,2301.3125,3564.4375,12,1154,3731,3692.37104371059,0.989646487191261
"101","JAWA BARAT","INDRAMAYU","WIDASARI",3212070,3212,2017,"JANUARI","2017-01","'2017-01-24",130.6875,200.75,782.75,1795.3125,2909.5,102,394,2856,3011.47721603542,1.05443880113285
"102","JAWA BARAT","INDRAMAYU","KERTASEMAYA",3212080,3212,2017,"JANUARI","2017-01","'2017-01-24",52.8125,285,1593.0625,473.9375,2404.8125,125,0,2915,2485.15023091493,0.852538672698088
"103","JAWA BARAT","INDRAMAYU","SUKAGUMIWANG",3212081,3212,2017,"JANUARI","2017-01","'2017-01-24",68,325.1875,929.125,830.375,2152.6875,965,0,2570,2245.22589752096,0.873628753899208
"104","JAWA BARAT","INDRAMAYU","KRANGKENG",3212090,3212,2017,"JANUARI","2017-01","'2017-01-24",262.5,4200.6875,20.4375,8.5625,4492.1875,4551,0,5476,4622.50756230355,0.844139437966318
"105","JAWA BARAT","INDRAMAYU","KARANGAMPEL",3212100,3212,2017,"JANUARI","2017-01","'2017-01-24",201.1875,1021.1875,515.3125,257.125,1994.8125,785,514,2245,2065.51846416008,0.920052768000034
