"","sensor","model","period","region","subdistrict","area_ha_1","area_ha_2","area_ha_3","area_ha_4"
"228","S1_PROBA","svmRadial0610","'2017-02-05","3213","3213140","1571.9375","132.5625","141.75","820.625"
"229","S1_PROBA","svmRadial0610","'2017-02-05","3213","3213141","2069.1875","230.0625","223.8125","603.8125"
"230","S1_PROBA","svmRadial0610","'2017-02-05","3213","3213150","2374.9375","553.9375","1062.625","1925.4375"
"231","S1_PROBA","svmRadial0610","'2017-02-05","3213","3213160","962.1875","2706.6875","1497.3125","304.8125"
"232","S1_PROBA","svmRadial0610","'2017-02-05","3213","3213170","545.625","693.9375","2037.1875","733.3125"
"233","S1_PROBA","svmRadial0610","'2017-02-05","3213","3213171","718.3125","3367.4375","1143.625","93.3125"
"234","S1_PROBA","svmRadial0610","'2017-02-05","3213","3213180","730.125","1626.125","5204.625","1236.3125"
"235","S1_PROBA","svmRadial0610","'2017-02-05","3213","3213190","655.8125","1436.5","25.4375","1.5"
"236","S1_PROBA","svmRadial0610","'2017-02-05","3213","3213191","691.5","2013.25","584.75","1.25"
"237","S1_PROBA","svmRadial0610","'2017-02-05","3213","3213200","879.5","1484.875","19.375","6.1875"
"238","S1_PROBA","svmRadial0610","'2017-02-05","3213","3213201","1118.9375","3353.8125","33.6875","3.25"
"239","S1_PROBA","svmRadial0610","'2017-02-05","3213","3213210","1193.0625","1399.75","78.5","11.0625"
"240","S1_PROBA","svmRadial0610","'2017-02-05","3213","3213220","909.375","3016.9375","1241.1875","50.0625"
"241","S1_PROBA","svmRadial0610","'2017-02-05","3215","3215010","458","129.125","1.4375","155.8125"
"242","S1_PROBA","svmRadial0610","'2017-02-05","3215","3215011","903.4375","59.125","143.8125","434.25"
"243","S1_PROBA","svmRadial0610","'2017-02-05","3215","3215020","743.9375","31.125","71.875","312.4375"
"244","S1_PROBA","svmRadial0610","'2017-02-05","3215","3215031","590.0625","78.9375","167.5625","162.5625"
"245","S1_PROBA","svmRadial0610","'2017-02-05","3215","3215032","339.5","147.8125","130.5","51"
"246","S1_PROBA","svmRadial0610","'2017-02-05","3215","3215040","1573.0625","147.0625","83.5625","688.4375"
"247","S1_PROBA","svmRadial0610","'2017-02-05","3215","3215050","196.3125","1.3125","7.9375","125.5625"
"248","S1_PROBA","svmRadial0610","'2017-02-05","3215","3215051","696.25","25.3125","79.8125","956.8125"
"249","S1_PROBA","svmRadial0610","'2017-02-05","3215","3215060","1240.3125","21.25","445.5625","1796.5625"
"250","S1_PROBA","svmRadial0610","'2017-02-05","3215","3215070","1016.125","104.4375","960.625","1876.875"
"251","S1_PROBA","svmRadial0610","'2017-02-05","3215","3215071","964.25","1869.6875","1300","191.4375"
"252","S1_PROBA","svmRadial0610","'2017-02-05","3215","3215072","709.875","5.1875","8.375","679.25"
"253","S1_PROBA","svmRadial0610","'2017-02-05","3215","3215081","1228.9375","3699.25","95.3125","3.4375"
"254","S1_PROBA","svmRadial0610","'2017-02-05","3215","3215082","1627","3488.875","291.5","14.125"
"255","S1_PROBA","svmRadial0610","'2017-02-05","3215","3215090","755.8125","1339.875","729.375","1204.875"
"256","S1_PROBA","svmRadial0610","'2017-02-05","3215","3215100","1013.8125","1243.5","1083.25","797.25"
