"","sensor","model","period","region","subdistrict","area_ha_1","area_ha_2","area_ha_3","area_ha_4"
"152","S1_PROBA","svmRadial0610","'2017-01-24","3213","3213220","221.125","4431.9375","361.5","44.375"
"153","S1_PROBA","svmRadial0610","'2017-01-24","3215","3215010","43.1875","123.5","2.8125","470.3125"
"154","S1_PROBA","svmRadial0610","'2017-01-24","3215","3215011","235.9375","339.75","141.6875","668.6875"
"155","S1_PROBA","svmRadial0610","'2017-01-24","3215","3215020","96.125","231.625","118.8125","610.375"
"156","S1_PROBA","svmRadial0610","'2017-01-24","3215","3215031","140.0625","363.0625","191.5","234.5"
"157","S1_PROBA","svmRadial0610","'2017-01-24","3215","3215032","162.4375","307.0625","10.25","41.5625"
"158","S1_PROBA","svmRadial0610","'2017-01-24","3215","3215040","229.5","469.5","77.875","1601.125"
"159","S1_PROBA","svmRadial0610","'2017-01-24","3215","3215050","16","30.9375","3.8125","257.625"
"160","S1_PROBA","svmRadial0610","'2017-01-24","3215","3215051","153.8125","62.75","520.4375","968"
"161","S1_PROBA","svmRadial0610","'2017-01-24","3215","3215060","373.0625","189.625","497.8125","2348.875"
"162","S1_PROBA","svmRadial0610","'2017-01-24","3215","3215070","265.25","245.625","1209.625","2134.9375"
"163","S1_PROBA","svmRadial0610","'2017-01-24","3215","3215071","144.5","3001.625","530.125","570.5625"
"164","S1_PROBA","svmRadial0610","'2017-01-24","3215","3215072","60","68.3125","76.5","1155.6875"
"165","S1_PROBA","svmRadial0610","'2017-01-24","3215","3215081","212.5","4598.625","55","55.5625"
"166","S1_PROBA","svmRadial0610","'2017-01-24","3215","3215082","286.3125","4740.25","233.5625","54.875"
"167","S1_PROBA","svmRadial0610","'2017-01-24","3215","3215090","360.4375","1935.8125","626.8125","1018.375"
"168","S1_PROBA","svmRadial0610","'2017-01-24","3215","3215100","333.625","2263.0625","987.4375","463.0625"
"169","S1_PROBA","svmRadial0610","'2017-01-24","3215","3215111","406.25","178.0625","181.875","1589.875"
"170","S1_PROBA","svmRadial0610","'2017-01-24","3215","3215112","147.1875","265.9375","95.125","795.25"
"171","S1_PROBA","svmRadial0610","'2017-01-24","3215","3215113","519.625","164.5625","244.0625","1227.8125"
"172","S1_PROBA","svmRadial0610","'2017-01-24","3215","3215120","567.1875","689.8125","1253.5","913.125"
"173","S1_PROBA","svmRadial0610","'2017-01-24","3215","3215130","1042.8125","5357.0625","335.5","329.5"
"174","S1_PROBA","svmRadial0610","'2017-01-24","3215","3215140","970.3125","2390.125","811.0625","195.4375"
"175","S1_PROBA","svmRadial0610","'2017-01-24","3215","3215150","385","1005.75","168.0625","254.375"
"176","S1_PROBA","svmRadial0610","'2017-01-24","3215","3215151","528.75","508.875","36.4375","309.6875"
"177","S1_PROBA","svmRadial0610","'2017-01-24","3215","3215160","1606.1875","1079.6875","184.0625","677.6875"
"178","S1_PROBA","svmRadial0610","'2017-01-24","3215","3215161","1542.1875","2166.6875","258.375","763.25"
"179","S1_PROBA","svmRadial0610","'2017-01-24","3215","3215170","182.4375","100.8125","2.1875","128.4375"
"180","S1_PROBA","svmRadial0610","'2017-02-05","3212","3212010","1132.3125","333.0625","402.0625","2397"
"181","S1_PROBA","svmRadial0610","'2017-02-05","3212","3212011","1301.4375","320.4375","120.375","5880.125"
"182","S1_PROBA","svmRadial0610","'2017-02-05","3212","3212020","2232.25","319.75","151.0625","7025.625"
"183","S1_PROBA","svmRadial0610","'2017-02-05","3212","3212030","2797.1875","317.4375","1266.625","1625.625"
"184","S1_PROBA","svmRadial0610","'2017-02-05","3212","3212040","782.6875","122.3125","239.625","2807.5"
"185","S1_PROBA","svmRadial0610","'2017-02-05","3212","3212041","2674.25","328.625","244","3614.25"
"186","S1_PROBA","svmRadial0610","'2017-02-05","3212","3212050","726.1875","73.4375","1612.8125","2134.125"
"187","S1_PROBA","svmRadial0610","'2017-02-05","3212","3212060","493","957.8125","185","1860.8125"
"188","S1_PROBA","svmRadial0610","'2017-02-05","3212","3212061","619.5","1178.8125","43.6875","1723"
"189","S1_PROBA","svmRadial0610","'2017-02-05","3212","3212070","264.875","387.4375","387.5","1869.6875"
"190","S1_PROBA","svmRadial0610","'2017-02-05","3212","3212080","157.375","108.9375","1055.75","1083.125"
"191","S1_PROBA","svmRadial0610","'2017-02-05","3212","3212081","152.25","300.1875","581","1119.4375"
"192","S1_PROBA","svmRadial0610","'2017-02-05","3212","3212090","294.875","4153.5625","35.875","8.75"
"193","S1_PROBA","svmRadial0610","'2017-02-05","3212","3212100","217","968.875","517.0625","291.4375"
"194","S1_PROBA","svmRadial0610","'2017-02-05","3212","3212101","186.9375","432.75","1107.5","496"
"195","S1_PROBA","svmRadial0610","'2017-02-05","3212","3212110","137.4375","394.875","2794.8125","211.875"
"196","S1_PROBA","svmRadial0610","'2017-02-05","3212","3212120","143.5625","1408.125","2201.625","663"
"197","S1_PROBA","svmRadial0610","'2017-02-05","3212","3212130","63","529.5625","1446.75","460.125"
"198","S1_PROBA","svmRadial0610","'2017-02-05","3212","3212140","56.3125","746.5","225.1875","10.0625"
"199","S1_PROBA","svmRadial0610","'2017-02-05","3212","3212150","154.5625","888.4375","446.625","144.5625"
"200","S1_PROBA","svmRadial0610","'2017-02-05","3212","3212160","355.5625","44.75","256.75","648.5"
"201","S1_PROBA","svmRadial0610","'2017-02-05","3212","3212161","74.25","36.4375","367","188.5625"
"202","S1_PROBA","svmRadial0610","'2017-02-05","3212","3212162","77.4375","31.125","247.5625","208.9375"
"203","S1_PROBA","svmRadial0610","'2017-02-05","3212","3212170","204","251.6875","1464.0625","459.25"
"204","S1_PROBA","svmRadial0610","'2017-02-05","3212","3212171","121.25","797.4375","705.6875","270.5625"
"205","S1_PROBA","svmRadial0610","'2017-02-05","3212","3212180","688.1875","718.8125","2981.5","495.8125"
"206","S1_PROBA","svmRadial0610","'2017-02-05","3212","3212190","790.5625","2874.5625","1552.75","535.0625"
"207","S1_PROBA","svmRadial0610","'2017-02-05","3212","3212200","968.25","1029.125","902.6875","804.4375"
"208","S1_PROBA","svmRadial0610","'2017-02-05","3212","3212210","643.625","3346.4375","1429.3125","818.75"
"209","S1_PROBA","svmRadial0610","'2017-02-05","3212","3212220","394.25","2821.9375","23.5","7.9375"
"210","S1_PROBA","svmRadial0610","'2017-02-05","3212","3212221","338.625","1984.25","63.9375","24.6875"
"211","S1_PROBA","svmRadial0610","'2017-02-05","3213","3213010","137.6875","343.625","71.25","227.875"
"212","S1_PROBA","svmRadial0610","'2017-02-05","3213","3213011","251.25","440.875","98.75","527.9375"
"213","S1_PROBA","svmRadial0610","'2017-02-05","3213","3213020","96.25","174.375","32.25","171.4375"
"214","S1_PROBA","svmRadial0610","'2017-02-05","3213","3213021","116.875","477.5","24.25","185.375"
"215","S1_PROBA","svmRadial0610","'2017-02-05","3213","3213030","108.625","593.6875","172.5","241.125"
"216","S1_PROBA","svmRadial0610","'2017-02-05","3213","3213031","90.5","317.5","103.5","83.1875"
"217","S1_PROBA","svmRadial0610","'2017-02-05","3213","3213040","91.8125","381.3125","238.5625","364.6875"
"218","S1_PROBA","svmRadial0610","'2017-02-05","3213","3213050","269.125","964.0625","150.6875","533.375"
"219","S1_PROBA","svmRadial0610","'2017-02-05","3213","3213060","259.4375","586.875","132.8125","782.8125"
"220","S1_PROBA","svmRadial0610","'2017-02-05","3213","3213070","184.375","458.5625","100.5","402.4375"
"221","S1_PROBA","svmRadial0610","'2017-02-05","3213","3213080","268.875","870.125","217.75","909.375"
"222","S1_PROBA","svmRadial0610","'2017-02-05","3213","3213081","56.9375","227.1875","37.1875","172.75"
"223","S1_PROBA","svmRadial0610","'2017-02-05","3213","3213090","281.3125","530.1875","158.8125","661.125"
"224","S1_PROBA","svmRadial0610","'2017-02-05","3213","3213100","889.6875","926.5","161.625","3145.5"
"225","S1_PROBA","svmRadial0610","'2017-02-05","3213","3213110","1238.8125","277.5","742.75","4569.6875"
"226","S1_PROBA","svmRadial0610","'2017-02-05","3213","3213120","227.25","406.9375","93","525.1875"
"227","S1_PROBA","svmRadial0610","'2017-02-05","3213","3213130","667.5","212.25","333.1875","1318.6875"
"228","S1_PROBA","svmRadial0610","'2017-02-05","3213","3213140","558.0625","567.125","85.875","1296.5625"
"229","S1_PROBA","svmRadial0610","'2017-02-05","3213","3213141","575","952.875","326.625","1074.9375"
"230","S1_PROBA","svmRadial0610","'2017-02-05","3213","3213150","929.5","1258","701.4375","2736.5625"
"231","S1_PROBA","svmRadial0610","'2017-02-05","3213","3213160","348.1875","3382","1068.5625","540.6875"
"232","S1_PROBA","svmRadial0610","'2017-02-05","3213","3213170","737.1875","801.125","1629.125","702"
"233","S1_PROBA","svmRadial0610","'2017-02-05","3213","3213171","300","3745.5","967.375","204"
"234","S1_PROBA","svmRadial0610","'2017-02-05","3213","3213180","985.375","1857.25","4381.4375","1293.625"
"235","S1_PROBA","svmRadial0610","'2017-02-05","3213","3213190","232.3125","1811.5625","13","3.625"
"236","S1_PROBA","svmRadial0610","'2017-02-05","3213","3213191","230.9375","2384.375","549","52.375"
"237","S1_PROBA","svmRadial0610","'2017-02-05","3213","3213200","476.5","1816.875","14.4375","9.8125"
"238","S1_PROBA","svmRadial0610","'2017-02-05","3213","3213201","144.125","4250.25","13.75","2.125"
"239","S1_PROBA","svmRadial0610","'2017-02-05","3213","3213210","497.375","2006.5","73.4375","24.875"
"240","S1_PROBA","svmRadial0610","'2017-02-05","3213","3213220","188.625","3573.3125","1243.9375","53.5625"
"241","S1_PROBA","svmRadial0610","'2017-02-05","3215","3215010","47.1875","199.8125","1.0625","425.75"
"242","S1_PROBA","svmRadial0610","'2017-02-05","3215","3215011","197.375","361.375","135.9375","713.375"
"243","S1_PROBA","svmRadial0610","'2017-02-05","3215","3215020","142.0625","272.4375","59.3125","580.8125"
"244","S1_PROBA","svmRadial0610","'2017-02-05","3215","3215031","153.5","325.875","220.625","246.75"
"245","S1_PROBA","svmRadial0610","'2017-02-05","3215","3215032","105.875","396.625","76.6875","69.4375"
"246","S1_PROBA","svmRadial0610","'2017-02-05","3215","3215040","354.5625","636.875","80.75","1306.125"
"247","S1_PROBA","svmRadial0610","'2017-02-05","3215","3215050","30.9375","42.5625","7.25","227.5625"
"248","S1_PROBA","svmRadial0610","'2017-02-05","3215","3215051","255.8125","78.75","47.1875","1323.75"
"249","S1_PROBA","svmRadial0610","'2017-02-05","3215","3215060","457.8125","87.375","317.625","2547.5"
"250","S1_PROBA","svmRadial0610","'2017-02-05","3215","3215070","756.75","215.6875","454.1875","2428.75"
"251","S1_PROBA","svmRadial0610","'2017-02-05","3215","3215071","141.3125","2609.0625","948.375","548.0625"
"252","S1_PROBA","svmRadial0610","'2017-02-05","3215","3215072","98.5","83.625","5.875","1172.625"
"253","S1_PROBA","svmRadial0610","'2017-02-05","3215","3215081","240.4375","4540.25","119.8125","21.125"
"254","S1_PROBA","svmRadial0610","'2017-02-05","3215","3215082","275.4375","4723.6875","306","9.9375"
"255","S1_PROBA","svmRadial0610","'2017-02-05","3215","3215090","395.375","1660.1875","757.0625","1128.6875"
"256","S1_PROBA","svmRadial0610","'2017-02-05","3215","3215100","337.875","1891.5","1150.9375","667"
"257","S1_PROBA","svmRadial0610","'2017-02-05","3215","3215111","441.6875","187.75","3.75","1723.1875"
"258","S1_PROBA","svmRadial0610","'2017-02-05","3215","3215112","159.0625","250.875","71","822.5625"
